tier,method,random_seed,quantization_setting,trainable_parameter_percentage,wall_clock_minutes_training_loop,peak_gpu_memory_gigabytes,optimizer_steps_completed,training_examples_seen,device_name
general-instruct,reference_vanilla_lora,42,bf16_full,0.28006,43.9183,26.627,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,reference_vanilla_lora,43,bf16_full,0.28006,40.6803,26.627,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,reference_vanilla_lora,44,bf16_full,0.28006,44.9199,26.627,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,reference_vanilla_qlora,42,nf4_4bit,0.51573,53.0164,13.442,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,baseline_fairnet,43,bf16_full,0.70086,14.6666,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,baseline_fairnet,44,bf16_full,0.70086,15.2283,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,baseline_igu_lora,42,bf16_full,0.70086,11.2383,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,baseline_pedal,42,bf16_full,0.70086,15.1961,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,baseline_dart,42,bf16_full,0.70086,22.1082,19.435,612,4881,NVIDIA A100-SXM4-40GB
general-instruct-2,baseline_dart,43,bf16_full,0.70086,21.9461,19.435,614,4903,NVIDIA A100-SXM4-40GB
general-instruct-2,baseline_dart,44,bf16_full,0.70086,20.2646,19.435,621,4956,NVIDIA A100-SXM4-40GB
general-instruct-2,baseline_regift,42,bf16_full,0.70086,14.9397,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,baseline_lftf,42,bf16_full,0.06043,7.0433,31.602,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,reference_vanilla_lora,42,bf16_full,0.27138,14.2235,18.917,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,reference_vanilla_lora,43,bf16_full,0.27138,14.2235,18.917,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,reference_vanilla_lora,44,bf16_full,0.27138,14.4366,18.917,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,reference_vanilla_qlora,42,nf4_4bit,0.47767,19.2685,11.899,468,3735,NVIDIA A100-SXM4-40GB
general-instruct-2,baseline_fairnet,42,bf16_full,0.70086,14.1261,19.435,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,baseline_lftf,42,bf16_full,0.80005,30.3434,27.598,468,3735,NVIDIA A100-SXM4-40GB
