source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T2-4 Chhattisgarh/Small/number/STvsOthers,AgCensus2015-16,T2-4,Chhattisgarh,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,D & N Haveli,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All Classes/area/SCvsST,AgCensus2015-16,T2-4,D & N Haveli,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,D & N Haveli,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All/area/MarginalvsMedium,AgCensus2015-16,T2-4,D & N Haveli,All,area,MarginalvsMedium,landholding,marginal operated area,medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,D & N Haveli,All,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,D & N Haveli,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,D & N Haveli,All,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All/area/SmallvsMedium,AgCensus2015-16,T2-4,D & N Haveli,All,area,SmallvsMedium,landholding,small operated area,medium operated area,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 D & N Haveli/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,D & N Haveli,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Delhi,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Delhi,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Delhi,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Delhi,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Delhi,All,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,3,0,0,3,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Delhi,All,area,SmallvsMedium,landholding,small operated area,medium operated area,3,0,0,3,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Delhi,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Delhi,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Delhi,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Delhi,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Delhi,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Delhi,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Delhi,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Delhi/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Delhi,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Goa,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Goa,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,1,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Goa,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Goa,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Goa,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Goa,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All/area/MediumvsLarge,AgCensus2015-16,T2-4,Goa,All,area,MediumvsLarge,landholding,medium operated area,large operated area,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All/area/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Goa,All,area,Semi-mediumvsLarge,landholding,semi-medium operated area,large operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Goa,All,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All/area/SmallvsLarge,AgCensus2015-16,T2-4,Goa,All,area,SmallvsLarge,landholding,small operated area,large operated area,3,0,0,3,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Goa,All,area,SmallvsMedium,landholding,small operated area,medium operated area,3,0,0,3,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Goa,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Goa,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Goa,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Goa,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,3,0,0,3,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Goa,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Goa,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Goa,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Goa,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Goa,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Goa,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Goa,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/ST/area/SmallvsMedium,AgCensus2015-16,T2-4,Goa,ST,area,SmallvsMedium,landholding,small operated area,medium operated area,1,1,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/ST/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Goa,ST,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,1,0,0,1,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Goa,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Goa,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Goa,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Goa,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Goa,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,2,2,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Goa/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Goa,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Gujarat,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Gujarat,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/All/area/MarginalvsLarge,AgCensus2015-16,T2-4,Gujarat,All,area,MarginalvsLarge,landholding,marginal operated area,large operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/All/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Gujarat,All,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Gujarat,All,area,SmallvsMedium,landholding,small operated area,medium operated area,3,0,0,3,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Gujarat,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Gujarat,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Gujarat,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Gujarat,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Gujarat,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Large/area/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Large,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Large/number/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,Large,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Large/number/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Large,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Medium/area/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,Medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/SC/area/SmallvsMedium,AgCensus2015-16,T2-4,Gujarat,SC,area,SmallvsMedium,landholding,small operated area,medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Gujarat,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Gujarat,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Gujarat,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/SC/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Gujarat,SC,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/SC/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Gujarat,SC,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Gujarat,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Gujarat,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Gujarat,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/ST/area/MarginalvsLarge,AgCensus2015-16,T2-4,Gujarat,ST,area,MarginalvsLarge,landholding,marginal operated area,large operated area,1,0,0,1,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/ST/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Gujarat,ST,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,1,1,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Gujarat,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Gujarat,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Gujarat,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Gujarat,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Gujarat,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Gujarat,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Semi-medium/area/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,Semi-medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Small/area/SCvsOthers,AgCensus2015-16,T2-4,Gujarat,Small,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,1,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Small/area/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Small,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Gujarat/Small/number/STvsOthers,AgCensus2015-16,T2-4,Gujarat,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Haryana,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Haryana,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Haryana,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Haryana,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Haryana,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,2,0,0,2,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All/area/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Haryana,All,area,Semi-mediumvsLarge,landholding,semi-medium operated area,large operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Haryana,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Haryana,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Haryana,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Haryana,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Haryana,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Haryana,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Haryana,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,2,0,0,2,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Haryana/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Haryana,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
