tier,reference,comparator,slice,cluster_field,seeds_reference,seeds_comparator,seeds_used,seed_policy,status,n_clusters,items_common,items_only_reference,items_only_comparator,b_reference_mean,b_comparator_mean,difference_reference_minus_comparator,per_seed_differences,seed_spread_sd,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_draws,permutation_p_two_sided,permutation_draws,family,holm_adjusted_p,significant_after_holm_0_05
general-instruct,graft_proposed,reference_vanilla_qlora,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.9545,-0.0307,[-0.0307],,-0.0567,-0.0109,10000,0.0011,10000,secondary_baselines,0.0308,True
general-instruct,graft_proposed,ablation_rank_sweep_8,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.9518,-0.0279,[-0.0279],,-0.0551,-0.0074,10000,0.0101,10000,secondary_baselines,0.2626,False
general-instruct,graft_proposed,baseline_dart,full,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,431,2247,0,0,0.9078,0.9461,-0.0383,"[-0.0106, -0.004, -0.1001]",0.0438,-0.0575,-0.022,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct,graft_proposed,baseline_fairnet,full,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,431,2247,0,0,0.9078,0.9206,-0.0128,"[-0.0081, 0.0176, -0.048]",0.027,-0.03,0.0023,10000,0.09349,10000,secondary_baselines,1.0,False
general-instruct,graft_proposed,baseline_fairsteer,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.0,0.9238,[0.9238],,0.8917,0.9492,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct,graft_proposed,baseline_igu_lora,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.9263,-0.0025,[-0.0025],,-0.0313,0.0217,10000,0.92651,10000,secondary_baselines,1.0,False
general-instruct,graft_proposed,baseline_lftf,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.9399,-0.0161,[-0.0161],,-0.0403,0.0046,10000,0.17398,10000,secondary_baselines,1.0,False
general-instruct,graft_proposed,baseline_pedal,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.9068,0.017,[0.017],,-0.0138,0.0416,10000,0.25017,10000,secondary_baselines,1.0,False
general-instruct,graft_proposed,baseline_regift,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9238,0.9484,-0.0246,[-0.0246],,-0.0553,0.0002,10000,0.06719,10000,secondary_baselines,1.0,False
general-instruct-2,graft_proposed,frozen_base,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.4289,0.4816,[0.4816],,0.4127,0.5586,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct-2,graft_proposed,reference_vanilla_lora,full,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,431,2247,0,0,0.913,0.9068,0.0062,"[0.0, 0.0213, -0.0027]",0.0107,-0.0029,0.0151,10000,0.19648,10000,secondary_baselines,1.0,False
general-instruct-2,graft_proposed,reference_vanilla_qlora,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.9314,-0.0209,[-0.0209],,-0.0396,-0.0034,10000,0.0282,10000,secondary_baselines,0.705,False
general-instruct-2,graft_proposed,ablation_rank_sweep_8,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.9503,-0.0398,[-0.0398],,-0.0602,-0.0213,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct-2,graft_proposed,baseline_dart,full,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,431,2247,0,0,0.913,0.8849,0.0281,"[0.0898, 0.0147, -0.0203]",0.0459,0.0169,0.04,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct-2,graft_proposed,baseline_fairnet,full,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,431,2247,0,0,0.913,0.8642,0.0488,"[0.1223, 0.0219, 0.0023]",0.0526,0.0319,0.0673,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct-2,graft_proposed,baseline_fairsteer,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.4782,0.4323,[0.4323],,0.3759,0.4918,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct-2,graft_proposed,baseline_igu_lora,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.917,-0.0065,[-0.0065],,-0.0221,0.0071,10000,0.44916,10000,secondary_baselines,1.0,False
general-instruct-2,graft_proposed,baseline_lftf,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.6994,0.211,[0.211],,0.1698,0.2547,10000,0.0001,10000,secondary_baselines,0.0044,True
general-instruct-2,graft_proposed,baseline_pedal,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.8972,0.0133,[0.0133],,-0.0031,0.0282,10000,0.13099,10000,secondary_baselines,1.0,False
general-instruct-2,graft_proposed,baseline_regift,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9105,0.9119,-0.0014,[-0.0014],,-0.0206,0.0159,10000,0.82702,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,frozen_base,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.386,0.5472,[0.5472],,0.4937,0.6037,10000,0.0001,10000,secondary_baselines,0.0044,True
small-instruct,graft_proposed,reference_vanilla_lora,full,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,431,2247,0,0,0.9457,0.9148,0.0309,"[-0.0174, 0.0095, 0.1006]",0.0505,0.0185,0.044,10000,0.0001,10000,secondary_baselines,0.0044,True
small-instruct,graft_proposed,reference_vanilla_qlora,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.9479,-0.0147,[-0.0147],,-0.0294,-0.0001,10000,0.05509,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,ablation_rank_sweep_8,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.9452,-0.012,[-0.012],,-0.0284,0.0038,10000,0.17758,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,baseline_dart,full,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,431,2247,0,0,0.9457,0.9417,0.004,"[-0.0051, 0.0081, 0.0089]",0.0064,-0.0036,0.0113,10000,0.27407,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,baseline_fairnet,full,source_cell,"[42, 43, 44]","[42, 43, 44]","[42, 43, 44]",matched_multi_seed,ok,431,2247,0,0,0.9457,0.9407,0.0049,"[-0.0013, 0.0001, 0.0161]",0.0079,-0.0023,0.012,10000,0.15428,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,baseline_fairsteer,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.3762,0.557,[0.557],,0.4943,0.6271,10000,0.0001,10000,secondary_baselines,0.0044,True
small-instruct,graft_proposed,baseline_igu_lora,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.9319,0.0013,[0.0013],,-0.0164,0.0186,10000,0.9955,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,baseline_lftf,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.8799,0.0533,[0.0533],,0.0283,0.0812,10000,0.0001,10000,secondary_baselines,0.0044,True
small-instruct,graft_proposed,baseline_pedal,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.9398,-0.0066,[-0.0066],,-0.0179,0.0038,10000,0.33167,10000,secondary_baselines,1.0,False
small-instruct,graft_proposed,baseline_regift,full,source_cell,"[42, 43, 44]",[42],[42],seed_42_paired,ok,431,749,0,0,0.9332,0.9413,-0.0081,[-0.0081],,-0.0228,0.0065,10000,0.29967,10000,secondary_baselines,1.0,False
broad-instruct,graft_proposed,cpu-baseline/always_equal,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9372,0.0,0.9372,,,0.9162,0.9561,,0.0001,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,cpu-baseline/majority,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9372,0.0,0.9372,,,0.9162,0.9561,,0.0001,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,cpu-baseline/metadata,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9372,0.822,0.1152,,,0.0702,0.1688,,0.0001,,cpu_baselines_exploratory,,
broad-instruct,graft_proposed,cpu-baseline/tfidf,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9372,0.9185,0.0187,,,-0.0024,0.0394,,0.07099,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/always_equal,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9238,0.0,0.9238,,,0.8917,0.9492,,0.0001,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/majority,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9238,0.0,0.9238,,,0.8917,0.9492,,0.0001,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/metadata,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9238,0.822,0.1018,,,0.0583,0.1527,,0.0001,,cpu_baselines_exploratory,,
general-instruct,graft_proposed,cpu-baseline/tfidf,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9238,0.9185,0.0053,,,-0.0261,0.0321,,0.78062,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/always_equal,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9105,0.0,0.9105,,,0.8845,0.9339,,0.0001,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/majority,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9105,0.0,0.9105,,,0.8845,0.9339,,0.0001,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/metadata,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9105,0.822,0.0885,,,0.0489,0.1374,,0.0001,,cpu_baselines_exploratory,,
general-instruct-2,graft_proposed,cpu-baseline/tfidf,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9105,0.9185,-0.008,,,-0.0296,0.0122,,0.47685,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/always_equal,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9332,0.0,0.9332,,,0.9137,0.9513,,0.0001,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/majority,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9332,0.0,0.9332,,,0.9137,0.9513,,0.0001,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/metadata,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9332,0.822,0.1112,,,0.0665,0.1661,,0.0001,,cpu_baselines_exploratory,,
small-instruct,graft_proposed,cpu-baseline/tfidf,full,source_cell,,,[42],seed_42_paired,ok,431,749,,,0.9332,0.9185,0.0147,,,-0.0014,0.0308,,0.09859,,cpu_baselines_exploratory,,
