source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type,recomputed_condition,recomputed_gold,agrees_with_frozen
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,"Table 3, PDF pages 31,33,34",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Andhra Pradesh/SC/number=728,15.3846153846,5.0824175824,raw Small=112; raw Semi-medium=37; construction fact=f00974; stored gap=10.3 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,4,0,0,equal,c,"Table 4, PDF pages 37,38,40",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All Classes total for Andhra Pradesh/ST/area=432,27.0833333333,25.9259259259,raw Marginal=117; raw Semi-medium=112; construction fact=f01762; stored gap=1.16 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,2,2,0,0,equal,c,"Table 4, PDF pages 37,38,39",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All Classes total for Andhra Pradesh/ST/area=432,27.0833333333,28.4722222222,raw Marginal=117; raw Small=123; construction fact=f01761; stored gap=1.39 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,4,4,0,0,equal,c,"Table 4, PDF pages 37,39,40",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All Classes total for Andhra Pradesh/ST/area=432,28.4722222222,25.9259259259,raw Small=123; raw Semi-medium=112; construction fact=f01765; stored gap=2.55 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,1,0,diff,a,"Table 4, PDF pages 37,38,42",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Andhra Pradesh/ST/number=406,64.7783251232,0.2463054187,raw Marginal=263; raw Large=1; construction fact=f01119; stored gap=64.53 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,"Table 4, PDF pages 37,38,41",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Andhra Pradesh/ST/number=406,64.7783251232,2.9556650246,raw Marginal=263; raw Medium=12; construction fact=f01118; stored gap=61.82 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,"Table 4, PDF pages 37,38,39",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Andhra Pradesh/ST/number=406,64.7783251232,21.6748768473,raw Marginal=263; raw Small=88; construction fact=f01116; stored gap=43.1 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,"Table 4, PDF pages 37,40,42",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Andhra Pradesh/ST/number=406,10.3448275862,0.2463054187,raw Semi-medium=42; raw Large=1; construction fact=f01123; stored gap=10.1 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,"Table 4, PDF pages 37,39,42",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Andhra Pradesh/ST/number=406,21.6748768473,0.2463054187,raw Small=88; raw Large=1; construction fact=f01122; stored gap=21.43 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,"Table 4, PDF pages 37,39,41",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Andhra Pradesh/ST/number=406,21.6748768473,2.9556650246,raw Small=88; raw Medium=12; construction fact=f01121; stored gap=18.72 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,"Tables 2-4, PDF pages 28,34,40",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Andhra Pradesh/Semi-medium/area=2020,4.5049504950,89.9504950495,raw SC=91; raw Others=1817; construction fact=f00364; stored gap=85.45 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,"Tables 2-4, PDF pages 28,34,40",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Andhra Pradesh/Semi-medium/area=2020,4.5049504950,5.5445544554,raw SC=91; raw ST=112; construction fact=f00363; stored gap=1.04 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,"Tables 2-4, PDF pages 28,34,40",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Andhra Pradesh/Semi-medium/area=2020,5.5445544554,89.9504950495,raw ST=112; raw Others=1817; construction fact=f00365; stored gap=84.41 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,"Tables 2-4, PDF pages 28,34,40",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Andhra Pradesh/Semi-medium/number=770,4.8051948052,5.4545454545,raw SC=37; raw ST=42; construction fact=f00008; stored gap=0.65 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/Small/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,"Tables 2-4, PDF pages 27,33,39",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Andhra Pradesh/Small/area=2334,6.6838046272,5.2699228792,raw SC=156; raw ST=123; construction fact=f00366; stored gap=1.41 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/Small/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Small,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,"Tables 2-4, PDF pages 27,33,39",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Andhra Pradesh/Small/area=2334,5.2699228792,88.0462724936,raw ST=123; raw Others=2055; construction fact=f00368; stored gap=82.78 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,"Tables 2-4, PDF pages 27,33,39",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Andhra Pradesh/Small/number=1646,6.8043742406,87.8493317132,raw SC=112; raw Others=1446; construction fact=f00012; stored gap=81.04 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,"Tables 2-4, PDF pages 27,33,39",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Andhra Pradesh/Small/number=1646,6.8043742406,5.3462940462,raw SC=112; raw ST=88; construction fact=f00011; stored gap=1.46 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,"Tables 2-4, PDF pages 27,33,39",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Andhra Pradesh/Small/number=1646,5.3462940462,87.8493317132,raw ST=88; raw Others=1446; construction fact=f00013; stored gap=82.5 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,"Tables 2-4, PDF pages 25,31,37",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Arunachal Pradesh/All Classes/area=380,0.0000000000,98.9473684211,raw SC=0; raw ST=376; construction fact=f00369; stored gap=98.95 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,"Tables 2-4, PDF pages 25,31,37",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Arunachal Pradesh/All Classes/area=380,98.9473684211,1.0526315789,raw ST=376; raw Others=4; construction fact=f00370; stored gap=97.89 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,1,0,diff,b,"Tables 2-4, PDF pages 25,31,37",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Arunachal Pradesh/All Classes/number=113,0.0000000000,97.3451327434,raw SC=0; raw ST=110; construction fact=f00014; stored gap=97.35 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Arunachal Pradesh,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,"Tables 2-4, PDF pages 25,31,37",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Arunachal Pradesh/All Classes/number=113,97.3451327434,2.6548672566,raw ST=110; raw Others=3; construction fact=f00015; stored gap=94.69 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,4,0,0,equal,c,"Table 2, PDF pages 25,26,27",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All Classes total for Arunachal Pradesh/All/area=380,3.6842105263,8.1578947368,raw Marginal=14; raw Small=31; construction fact=f01337; stored gap=4.47 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,"Table 2, PDF pages 25,26,30",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Arunachal Pradesh/All/number=113,23.8938053097,6.1946902655,raw Marginal=27; raw Large=7; construction fact=f00759; stored gap=17.7 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,3,3,0,0,equal,c,"Table 2, PDF pages 25,26,29",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Arunachal Pradesh/All/number=113,23.8938053097,23.0088495575,raw Marginal=27; raw Medium=26; construction fact=f00758; stored gap=0.88 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,4,0,0,4,equal,c,"Table 2, PDF pages 25,26,28",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Arunachal Pradesh/All/number=113,23.8938053097,25.6637168142,raw Marginal=27; raw Semi-medium=29; construction fact=f00757; stored gap=1.77 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,3,3,0,0,equal,c,"Table 2, PDF pages 25,26,27",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Arunachal Pradesh/All/number=113,23.8938053097,21.2389380531,raw Marginal=27; raw Small=24; construction fact=f00756; stored gap=2.65 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/MediumvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,MediumvsLarge,landholding,medium holdings,large holdings,1,0,0,1,diff,a,"Table 2, PDF pages 25,29,30",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Arunachal Pradesh/All/number=113,23.0088495575,6.1946902655,raw Medium=26; raw Large=7; construction fact=f00765; stored gap=16.81 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,2,2,0,0,equal,c,"Table 2, PDF pages 25,28,29",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Arunachal Pradesh/All/number=113,25.6637168142,23.0088495575,raw Semi-medium=29; raw Medium=26; construction fact=f00763; stored gap=2.65 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Arunachal Pradesh/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Arunachal Pradesh,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,"Table 2, PDF pages 25,27,30",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Arunachal Pradesh/All/number=113,21.2389380531,6.1946902655,raw Small=24; raw Large=7; construction fact=f00762; stored gap=15.04 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
